datum,land,type,slachtoffers,publicatie_datum,Nederland_ind,Europe_ind,World_ind,man_made,Marokko_ind,Turkije_ind,Belgie_ind,Duitsland_ind,Indonesie_ind,Polen_ind,Suriname_ind,Oceanie_ind,Afrika_ind,Amerika_ind,Asie_ind
2022-06-09,Oekraïne,nucleaire catastrofe,0,6.09.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-23,Oekraïne rusland turkse stad istanbul turkije verenigde naties,oorlog,0,23.07.2022,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2021-12-07,Irak,brand,52,12.07.2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2019-11-10,Japan,tyfoon,0,11.10.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-11-16,Nederland,,0,16.11.2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-14,Belgie,overstroming,0,14.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-31,Verenigde staten,bosbrand,0,31.07.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-07-15,Turkije,bosbrand,19,15.07.2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2022-10-18,Nigeria,overstromingen,603,18.10.2022,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2021-03-21,Jemen,oorlog,8,21.03.2021,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2019-03-09,Bahama's,orkaan,5,3.09.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-05-07,Cyprus,bosbrand,4,5.07.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2019-07-17,Frankrijk,bosbrand,0,17.07.2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,Nederland,brand,0,2.06.2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-08-06,Spanje,economische crisis / hongersnood,0,8.06.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-11,Nederland,schietincident,0,12.11.2020,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-09-03,Oekraïne,luchtaanvallen,5,9.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-02-08,Turkije,bosbrand,8,2.08.2021,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2019-10-24,Chili,onlusten,3,24.10.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-10-20,Chili,brand,5,20.10.2019,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2021-02-28,Nederland,,0,28.02.2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-24,China,overstromingen,56,24.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-11-26,Italië,aardverschuiving,1,26.11.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-27,Jemen,milieuramp,0,27.04.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-08-02,Turkije,bosbranden,8,"August 2, 2021",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2021-03-09,Verenigde staten,overstromingen,44,3.09.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-20,Nederland,coronavirus pandemie,0,20.11.2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-30,Ethiopië,,0,30.09.2021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-11-18,Australië,bosbranden,6,18.11.2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2021-07-16,Verenigde staten,instorting,4,16.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-07-15,Venezuela,economische crisis,0,15.07.2019,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-30,Afghanistan,overstromingen,180,30.08.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2021-08-06,Suriname,coronacrisis,50,8.06.2021,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2019-12-25,Chili,bosbrand,0,25.12.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-21,Verenigde staten,brand,1,21.07.2021,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
2019-05-23,Venezuela,,0,23.05.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-08,Ethiopië,oorlog,0,6.08.2021,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2022-03-23,Oekraïne,oorlog,0,23.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-07-25,Nederland,boerenprotest,0,25.07.2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-04,Spanje,coronavirus,0,6.04.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-20,Australië,bosbranden,8,20.12.2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2022-04-07,Afrika,hongersnood,0,4.07.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-05,Australië,bosbrand,0,2.05.2021,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2022-03-17,Italië,coronamaatregelen,0,17.03.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-13,Afghanistan,,0,13.02.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-10-30,Verenigde staten,bosbranden,2,30.10.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-11-28,Afghanistan,,0,28.11.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-04-18,Nederland,containerramp,0,18.04.2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-21,Frankrijk,coronavirus,24500,21.05.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-20,Europa,hittegolf en bosbranden,0,20.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-25,Canada,noodweer,0,25.09.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-05-27,Japan,,0,27.05.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-01-23,Australië,vliegtuigcrash,3,23.01.2020,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2022-08-27,Pakistan,overstromingen,1000,27.08.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2020-03-22,Hongarije,corona-pandemie,6,22.03.2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,Nederland,bosbrand,0,3.06.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-15,Filipijnen,tyfoon,53,15.11.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-11-13,Italië,overstroming,1,13.11.2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-11,Filipijnen,tyfoon,26,12.11.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2022-08-15,Spanje,bosbrand,0,15.08.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,Australië,natuurramp,12,22.01.2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2022-10-05,Nederland,brand,0,10.05.2022,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2019-01-07,Mozambique,overstroming,0,1.07.2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2019-06-05,India,cycloon,0,6.05.2019,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2019-05-15,Nederland,bosbrand,0,15.05.2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-08,Frankrijk,bosbrand,0,11.08.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-09,Verenigde staten,overstroming,41,3.09.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-09-03,Oekraïne,oorlog,0,9.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-08-03,Oekraïne,oorlog,21,8.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2020-05-22,Pakistan,vliegtuigcrash,99,22.05.2020,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2022-03-16,Oekraïne,bombardement,2,16.03.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-08-17,Frankrijk,bosbrand,0,17.08.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,Australië,bosbranden,25,9.01.2020,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2021-01-13,Ierland,coronabesmettingen,0,13.01.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-07,Haïti,tropische storm,3,4.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-02-04,Mozambique,cholera-epidemie,1,2.04.2019,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2022-01-09,Verenigde staten,bosbrand,8,1.09.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-04-23,Verenigde staten,klimaatverandering,0,23.04.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-06-18,Ecuador,protesten,43,18.06.2022,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2019-12-21,Australië,bosbranden,0,21.12.2019,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2021-06-08,Verenigde staten,bosbrand,0,6.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-15,Puerto rico,stroomuitval,0,15.07.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-07-17,Oekraïne,oorlog,24,17.07.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-11-07,Griekenland,bosbrand,0,11.07.2021,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-28,Ethiopië,oorlog,,28.06.2021,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
2021-05-08,Turkije,bosbrand,0,5.08.2021,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2020-04-22,Nederland,bosbrand,0,22.04.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-23,Oekraïne,oorlog,0,23.05.2022,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021-08-15,Haïti,aardbeving,724,15.08.2021,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2020-05-17,Nederland,bosbrand,0,17.05.2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-28,Italië,aardverschuiving,8,28.11.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-06-07,Hongarije,bootramp,27,6.07.2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,Spanje,protest,30,1.11.2020,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-07-16,Frankrijk,bosbrand,1,16.07.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-22,Verenigde staten,bosbranden,6,22.08.2020,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2022-09-08,Frankrijk,bosbrand,0,9.08.2022,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-26,Nederland,apenpokken,0,26.07.2022,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
